country_code;Country;2019_income_group;2019_total_gdp;2020_income_group;2020_total_gdp;2021_income_group;2021_total_gdp;2022_income_group;2022_total_gdp;2023_income_group;2023_total_gdp
IDN;Indonesia;INGRESO MEDIANO ALTO;1119099871386;INGRESO MEDIANO ALTO;1059054842712;INGRESO MEDIANO ALTO;1186509691071;INGRESO MEDIANO ALTO;1319076267292;INGRESO MEDIANO ALTO;1371171152331
IMN;Isle of man;INGRESO ALTO;7314967866;INGRESO ALTO;6684225641;INGRESO ALTO;7931193222;INGRESO ALTO;0;INGRESO ALTO;0
IND;India;PAÍSES DE INGRESO MEDIANO BAJO;2835606256558;PAÍSES DE INGRESO MEDIANO BAJO;2674851578587;PAÍSES DE INGRESO MEDIANO BAJO;3167270623260;PAÍSES DE INGRESO MEDIANO BAJO;3353470496886;PAÍSES DE INGRESO MEDIANO BAJO;3567551674623
IRL;Ireland;INGRESO ALTO;407124824065;INGRESO ALTO;436555518400;INGRESO ALTO;531306516908;INGRESO ALTO;548570250342;INGRESO ALTO;551394889340
IRN;Iran (islamic republic of);INGRESO MEDIANO ALTO;333519146339;INGRESO MEDIANO ALTO;262186179356;INGRESO MEDIANO ALTO;383436202447;INGRESO MEDIANO ALTO;394362621793;INGRESO MEDIANO ALTO;404625655205
IRQ;Iraq;INGRESO MEDIANO ALTO;233636097800;INGRESO MEDIANO ALTO;180898797517;INGRESO MEDIANO ALTO;209691945713;INGRESO MEDIANO ALTO;286640340966;INGRESO MEDIANO ALTO;250842782139
ISL;Iceland;INGRESO ALTO;24681343649;INGRESO ALTO;21629953194;INGRESO ALTO;25825287184;INGRESO ALTO;28770206627;INGRESO ALTO;31325116556
ISR;Israel;INGRESO ALTO;399651065198;INGRESO ALTO;411728563087;INGRESO ALTO;489708278893;INGRESO ALTO;525000415277;INGRESO ALTO;513611100816
ITA;Italy;INGRESO ALTO;2019606796584;INGRESO ALTO;1907481094079;INGRESO ALTO;2179207773596;INGRESO ALTO;2102995942720;INGRESO ALTO;2300941152992
JAM;Jamaica;INGRESO MEDIANO ALTO;15830766571;INGRESO MEDIANO ALTO;13812421803;INGRESO MEDIANO ALTO;14657586127;INGRESO MEDIANO ALTO;17097760724;INGRESO MEDIANO ALTO;19423355409
